Date;Home;Away;1(o);1(e);X(o);X(e);2(o);2(e);BTS(o);BTS(e);BTS_no(o);BTS_no(e);Over(o);Over(e);Under(o);Under(e);1H;Match;Goals;League;Link;Notes
02.01.2024 21:15;Real Sociedad;Alaves;1.57;1.50;4.00;4.00;5.75;7.50;2.10;2.50;1.67;1.50;2.10;2.30;1.70;1.60;0 - 0;1 - 1;76, 90+6;SPAIN: Laliga - Round 19;https://www.flashscore.com/match/football/GrNqhGfT/#/match-summary;
02.01.2024 19:00;Getafe;Rayo Vallecano;2.25;2.30;3.10;3.00;3.40;3.50;2.05;2.20;1.70;1.62;2.40;2.70;1.53;1.44;0 - 1;0 - 2;45+1, 47;SPAIN: Laliga - Round 19;https://www.flashscore.com/match/football/lYM4iq4I/#/match-summary;
23.12.2023 18:15;Atl. Madrid;Sevilla;1.57;1.57;4.00;4.20;5.50;5.75;1.80;1.91;1.95;1.91;1.73;1.75;2.10;2.05;0 - 0;1 - 0;46;SPAIN: Laliga - Round 4;https://www.flashscore.com/match/football/IeuL2xY7/#/match-summary;
21.12.2023 23:30;Alaves;Real Madrid;4.75;5.25;3.75;4.00;1.67;1.60;1.75;1.91;2.00;1.91;1.73;1.89;2.08;2.01;0 - 0;0 - 1;90+2;SPAIN: Laliga - Round 18;https://www.flashscore.com/match/football/bqUifoKa/#/match-summary;
21.12.2023 23:30;Mallorca;Osasuna;2.20;2.20;3.00;2.90;3.40;4.00;2.10;2.38;1.67;1.53;2.50;3.10;1.50;1.36;1 - 1;3 - 2;7, 12, 53, 62, 90+1;SPAIN: Laliga - Round 18;https://www.flashscore.com/match/football/CSRucmzs/#/match-summary;
21.12.2023 21:00;Betis;Girona;2.40;2.55;3.50;3.60;2.75;2.60;1.62;1.57;2.20;2.25;1.75;1.75;2.05;2.05;0 - 1;1 - 1;39, 88;SPAIN: Laliga - Round 18;https://www.flashscore.com/match/football/Sfj929CJ/#/match-summary;
21.12.2023 21:00;Cadiz CF;Real Sociedad;4.33;6.00;3.20;3.50;1.85;1.65;1.95;2.25;1.80;1.57;2.15;2.40;1.67;1.53;0 - 0;0 - 0;;SPAIN: Laliga - Round 18;https://www.flashscore.com/match/football/6okD1TRP/#/match-summary;
20.12.2023 23:30;Ath Bilbao;Las Palmas;1.40;1.36;4.50;5.25;7.00;7.50;2.00;2.05;1.75;1.70;1.75;1.67;2.05;2.15;0 - 0;1 - 0;90+4;SPAIN: Laliga - Round 18;https://www.flashscore.com/match/football/zmlOv6KC/#/match-summary;
20.12.2023 23:30;Villarreal;Celta Vigo;2.15;2.30;3.75;3.50;2.90;3.00;1.62;1.75;2.20;2.00;1.70;2.07;2.10;1.83;2 - 0;3 - 2;13, 40, 48, 52, 57;SPAIN: Laliga - Round 18;https://www.flashscore.com/match/football/fBN0hPlC/#/match-summary;
20.12.2023 21:00;Barcelona;Almeria;1.14;1.17;8.50;8.00;12.00;15.00;1.91;1.80;1.91;1.95;1.29;1.29;3.60;3.60;1 - 1;3 - 2;33, 41, 60, 71, 83;SPAIN: Laliga - Round 18;https://www.flashscore.com/match/football/GKOdg5Z5/#/match-summary;
